OrderID,ClientName,ProductType,ChannelSales,Priority,Units,UnitPrice,CostPrice,TotalSalesAmount,TotalCostAmount
E1000,Joshua,Bebida,Offline,High,122,462.24,233.99,56393.28,28546.78
E1001,Robert,Cuidado personal,Offline,Critical,1849,744.58,265.62,1376728.42,491131.38
E1002,Jacqueline,Ropa,Offline,Medium,8694,570.77,121.02,4962274.38,1052147.88
E1003,Mark,Carnes,Online,Medium,1263,665.46,496.94,840475.98,627635.22
E1004,Todd,Alimento infantil,Offline,High,8372,740.06,34.91,6195782.32,292266.52
E1005,Courtney,Cereales,Offline,High,9040,772.53,143.04,6983671.2,1293081.6
E1006,John,Cereales,Offline,Low,6910,803.19,451.24,5550042.9,3118068.4
E1007,Tony,Alimento infantil,Online,Critical,1961,729.15,332.9,1429863.15,652816.9
E1008,Julian,Carnes,Offline,High,3608,562.42,221.22,2029211.36,798161.76
E1009,Crystal,Snacks,Online,Critical,2649,651.69,223.03,1726326.81,590806.47
E1010,Nicole,Verduras,Online,Medium,9704,441.47,204.39,4284024.88,1983400.56
E1011,Mark,Material de oficina,Online,Critical,4120,489.08,99.22,2015009.6,408786.4
E1012,Amanda,Material de oficina,Online,High,6157,762.45,223.44,4694404.65,1375720.08
E1013,Nicole,Carnes,Online,Critical,7444,957.16,360.81,7125099.04,2685869.64
E1014,Lisa,Frutas,Offline,Medium,5358,531.17,477.06,2846008.86,2556087.48
E1015,David,Material de oficina,Offline,Critical,3542,707.36,498.83,2505469.12,1766855.86
E1016,Amanda,Bebida,Online,High,8761,849.82,97.44,7445273.02,853671.84
E1017,Tina,Material de oficina,Offline,Medium,5124,724.09,262.41,3710237.16,1344588.84
E1018,Veronica,Bebida,Online,Critical,8337,586.27,219.98,4887732.99,1833973.26
E1019,Rita,Alimento infantil,Offline,Low,1370,680.99,388.25,932956.3,531902.5
E1020,Gregory,Cereales,Offline,Critical,1750,908.86,499.77,1590505,874597.5
E1021,Adam,Domestico,Online,Low,1560,722.96,410.41,1127817.6,640239.6
E1022,Kaitlin,Alimento infantil,Offline,Low,5423,942.89,249.16,5113292.47,1351194.68
E1023,Mark,Verduras,Online,Low,8283,491.73,436.96,4072999.59,3619339.68
E1024,Christine,Frutas,Offline,High,715,865.83,474.53,619068.45,339288.95
E1025,Andre,Cereales,Offline,Medium,3190,672.71,484.35,2145944.9,1545076.5
E1026,Christina,Carnes,Offline,Medium,5008,772.41,437.57,3868229.28,2191350.56
E1027,Jose,Alimento infantil,Offline,High,7604,990.74,334.02,7533586.96,2539888.08
E1028,Darin,Verduras,Online,Medium,6152,843.75,253.25,5190750,1557994
E1029,Veronica,Bebida,Offline,Critical,6581,722.2,261.45,4752798.2,1720602.45
E1030,Nicole,Material de oficina,Offline,High,971,658.05,191.63,638966.55,186072.73
E1031,Alicia,Cuidado personal,Online,Medium,1615,506,334.14,817190,539636.1
E1032,Jeffrey,Snacks,Offline,Low,6850,990.92,391.59,6787802,2682391.5
E1033,Donna,Cereales,Offline,Medium,4790,951.44,365.48,4557397.6,1750649.2
E1034,Melanie,Snacks,Online,Critical,2743,512.25,88.18,1405101.75,241877.74
E1035,Connor,Cuidado personal,Online,Medium,6397,816.92,5.57,5225837.24,35631.29
E1036,Nancy,Ropa,Online,Medium,3169,407.31,343.34,1290765.39,1088044.46
E1037,Alex,Snacks,Online,Critical,5046,866.83,16.17,4374024.18,81593.82
E1038,David,Carnes,Offline,Low,5577,421.42,410.44,2350259.34,2289023.88
E1039,Theresa,Cosmeticos,Offline,High,5397,827.1,162.88,4463858.7,879063.36
E1040,Timothy,Snacks,Online,Medium,4750,438.82,267.96,2084395,1272810
E1041,Emily,Carnes,Online,Low,6919,594.35,148.72,4112307.65,1028993.68
E1042,Angela,Cosmeticos,Online,Low,2765,692.39,88.55,1914458.35,244840.75
E1043,Amanda,Cosmeticos,Online,Medium,153,599.44,411.64,91714.32,62980.92
E1044,Melinda,Cereales,Offline,Critical,3014,991.81,203.22,2989315.34,612505.08
E1045,Connor,Domestico,Online,Medium,2122,409.56,131.67,869086.32,279403.74
E1046,John,Verduras,Online,Low,3876,886.64,204.08,3436616.64,791014.08
E1047,Crystal,Verduras,Offline,High,5698,516.45,47.23,2942732.1,269116.54
E1048,Sean,Ropa,Online,Medium,4206,855.9,360.89,3599915.4,1517903.34
E1049,Austin,Domestico,Online,Critical,6479,963.73,428.92,6244006.67,2778972.68
E1050,Tyler,Domestico,Offline,Medium,2879,630.4,386.18,1814921.6,1111812.22
E1051,Crystal,Cuidado personal,Offline,Critical,2460,913.88,173.72,2248144.8,427351.2
E1052,Rita,Verduras,Offline,High,4195,835.37,43.86,3504377.15,183992.7
E1053,Melissa,Bebida,Offline,Low,9432,452.62,32.78,4269111.84,309180.96
E1054,Matthew,Alimento infantil,Offline,Critical,4761,900.34,446.19,4286518.74,2124310.59
E1055,Darryl,Bebida,Offline,High,164,628.73,338.65,103111.72,55538.6
E1056,Ashley,Frutas,Offline,Medium,8131,858.07,117.49,6976967.17,955311.19
E1057,Dawn,Domestico,Offline,Medium,1465,712.61,261.11,1043973.65,382526.15
E1058,Emily,Ropa,Online,High,7387,439.61,314.68,3247399.07,2324541.16
E1059,Daniel,Material de oficina,Online,Critical,4132,410.64,251.4,1696764.48,1038784.8
E1060,Robert,Carnes,Offline,High,4934,495.47,421.04,2444648.98,2077411.36
E1061,Sara,Cuidado personal,Offline,Critical,3853,720.29,312.14,2775277.37,1202675.42
E1062,Michael,Verduras,Offline,Medium,4625,967.52,266.29,4474780,1231591.25
E1063,Jessica,Cereales,Online,High,6406,850.65,415.59,5449263.9,2662269.54
E1064,Alyssa,Carnes,Offline,Medium,6375,643.02,215.65,4099252.5,1374768.75
E1065,Ryan,Domestico,Online,Medium,1116,961.98,254.99,1073569.68,284568.84
E1066,Tammy,Cuidado personal,Online,Critical,5679,784.89,158.15,4457390.31,898133.85
E1067,Brian,Carnes,Online,Low,4346,898.68,54.91,3905663.28,238638.86
E1068,Scott,Cuidado personal,Online,High,7837,885.87,319.86,6942563.19,2506742.82
E1069,William,Alimento infantil,Offline,Medium,912,471.29,218.91,429816.48,199645.92
